Interaction_ID,Chemical_1,Chemical_2,Reaction_Type,Primary_Hazard_Category,Secondary_Hazard_Category,Severity_Level,Fatality_Risk,Typical_Onset_Time,Safe_Separation_Storage,Incident_Frequency_Est,Key_Safety_Message
BL-AM-001,Sodium Hypochlorite,Ammonia,Oxidation,Toxic Gas Formation,Respiratory Damage,LETHAL,HIGH,Seconds to minutes,Separate containers minimum 10 feet apart,Common,NEVER mix bleach with ammonia-containing products
BL-H2O2-002,Sodium Hypochlorite,Hydrogen Peroxide,Violent Oxidation,Toxic Gas + Explosion,Oxygen Evolution,SEVERE,MODERATE,Instantaneous,Separate containers; different storage areas,Occasional,NEVER mix bleach with hydrogen peroxide
BL-VA-003,Sodium Hypochlorite,Acetic Acid,Acid-Base Oxidation,Toxic Gas Formation,Respiratory Damage,LETHAL,HIGH,Seconds to minutes,Separate containers minimum 10 feet apart,Common,NEVER mix bleach with vinegar
BL-HCL-004,Sodium Hypochlorite,Hydrochloric Acid,Acid Oxidation,Toxic Gas Formation,Respiratory Damage,LETHAL,HIGH,Instantaneous,Separate storage areas; different shelves,Very Common,NEVER mix bleach with toilet bowl cleaners or muriatic acid
BL-ISO-005,Sodium Hypochlorite,Isopropanol,Oxidation,Toxic Organic Compound,Anesthetic Gas,SEVERE,MODERATE,Minutes,Separate containers; different areas,Moderate,NEVER mix bleach with rubbing alcohol
BL-ETH-006,Sodium Hypochlorite,Ethanol,Oxidation,Toxic Organic Compound,Anesthetic Gas,SEVERE,MODERATE,Minutes,Separate containers; different areas,Moderate,NEVER mix bleach with hand sanitizer or ethanol products
BL-PA-007,Sodium Hypochlorite,Phosphoric Acid,Acid Oxidation,Toxic Gas Formation,Respiratory Damage,LETHAL,HIGH,Seconds to minutes,Separate containers minimum 10 feet apart,Occasional,Do not mix bleach with acid toilet bowl cleaners
H2O2-AC-008,Hydrogen Peroxide,Acetone,Nucleophilic Addition,Explosive Formation,Organic Peroxide Formation,SEVERE,HIGH,Minutes to hours,Completely separate; controlled storage,Rare in household,NEVER mix hydrogen peroxide with acetone or nail polish remover
H2O2-VAC-009,Hydrogen Peroxide,Acetic Acid,Equilibrium Reaction,Irritant Formation,Weak Oxidizer,MODERATE,LOW,Slow at room temperature,Can be stored near each other,Rare,Avoid mixing H2O2 with vinegar for cleaning
CALHYP-TRI-010,Calcium Hypochlorite,Trichlor,Incompatible Oxidation,Fire and Explosion,Chlorine Gas,SEVERE,MODERATE,Seconds,Separate storage areas; never consolidate,Occasional,NEVER mix different pool chlorine types
CALHYP-HCL-011,Calcium Hypochlorite,Hydrochloric Acid,Oxidation,Toxic Gas Formation,Extreme Hazard,LETHAL,HIGH,Instantaneous,Separate storage areas,Occasional,NEVER mix pool shock with muriatic acid
NAOH-H2O-012,Sodium Hydroxide,Water,Exothermic Dissolution,Thermal Burn,Chemical Burn,SEVERE,LOW,Seconds,Mix in proper sequence; add NaOH to water,Occasional,Add caustic to water NEVER water to caustic
NAOH-AL-013,Sodium Hydroxide,Aluminum,Oxidation,Explosive Gas Formation,Thermal Burn,SEVERE,MODERATE,Seconds to minutes,Never use in same location,Moderate,Do not use lye drain cleaners on aluminum pipes
H2SO4-H2O-014,Sulfuric Acid,Water,Exothermic Dissolution,Thermal Burn,Acid Vapor,SEVERE,LOW,Instantaneous,Add acid to water NEVER water to acid,Occasional,CRITICAL: Never add water to concentrated sulfuric acid
H2SO4-NAOH-015,Sulfuric Acid,Sodium Hydroxide,Violent Neutralization,Extreme Heat,Explosion,SEVERE,MODERATE,Instantaneous,Separate completely,Rare,NEVER mix acid and base drain cleaners
BL-MEK-016,Sodium Hypochlorite,Methyl Ethyl Ketone,Oxidation,Toxic Organic Compound,Chemical Burn,SEVERE,MODERATE,Minutes,Separate containers,Rare,NEVER mix bleach with paint thinners or solvents
KOH-H2O-017,Potassium Hydroxide,Water,Exothermic Dissolution,Thermal Burn,Chemical Burn,SEVERE,LOW,Seconds,Same precautions as sodium hydroxide,Occasional,Treat same as sodium hydroxide
BL-NAOH-018,Sodium Hypochlorite,Sodium Hydroxide,Heat and Decomposition,Excess Heat,Accelerated Decomposition,MODERATE,LOW,Minutes,Store separately; adequate ventilation,Rare,Do not mix bleach with oven/drain cleaners
BL-METH-019,Sodium Hypochlorite,Methylene Chloride,Oxidation,Toxic Vapor,Chemical Reaction,MODERATE,LOW,Minutes,Separate containers,Very Rare,Avoid mixing bleach with paint removers
